[3, 5, 11, 14, 20, 25]
[3, 5, 11, 14, 20, 33]
[3, 5, 11, 14, 20, 37]
[3, 5, 11, 14, 20, 40]
[3, 5, 11, 14, 20, 42]
[3, 5, 11, 14, 20, 45]
[3, 5, 11, 14, 25, 40]
[3, 5, 11, 14, 25, 42]
[3, 5, 11, 14, 33, 40]
[3, 5, 11, 14, 33, 42]
[3, 5, 11, 14, 37, 40]
[3, 5, 11, 14, 37, 42]
[3, 5, 11, 14, 40, 42]
[3, 5, 11, 14, 40, 45]
[3, 5, 11, 14, 42, 45]
[3, 5, 11, 20, 25, 40]
[3, 5, 11, 20, 25, 42]
[3, 5, 11, 20, 33, 40]
[3, 5, 11, 20, 33, 42]
[3, 5, 11, 20, 37, 40]
[3, 5, 11, 20, 37, 42]
[3, 5, 11, 20, 40, 42]
[3, 5, 11, 20, 40, 45]
[3, 5, 11, 20, 42, 45]
[3, 5, 11, 25, 40, 42]
[3, 5, 11, 33, 40, 42]
[3, 5, 11, 37, 40, 42]
[3, 5, 11, 40, 42, 45]
[3, 5, 14, 20, 25, 33]
[3, 5, 14, 20, 25, 37]
[3, 5, 14, 20, 25, 40]
[3, 5, 14, 20, 25, 42]
[3, 5, 14, 20, 25, 45]
[3, 5, 14, 20, 33, 37]
[3, 5, 14, 20, 33, 40]
[3, 5, 14, 20, 33, 42]
[3, 5, 14, 20, 33, 45]
[3, 5, 14, 20, 37, 40]
[3, 5, 14, 20, 37, 42]
[3, 5, 14, 20, 37, 45]
[3, 5, 14, 20, 40, 42]
[3, 5, 14, 20, 40, 45]
[3, 5, 14, 20, 42, 45]
[3, 5, 14, 25, 33, 40]
[3, 5, 14, 25, 33, 42]
[3, 5, 14, 25, 37, 40]
[3, 5, 14, 25, 37, 42]
[3, 5, 14, 25, 40, 42]
[3, 5, 14, 25, 40, 45]
[3, 5, 14, 25, 42, 45]
[3, 5, 14, 33, 37, 40]
[3, 5, 14, 33, 37, 42]
[3, 5, 14, 33, 40, 42]
[3, 5, 14, 33, 40, 45]
[3, 5, 14, 33, 42, 45]
